RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
11417,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5257,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4395,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4871,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5916,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4863,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4184,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5824,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5444,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4111,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4734,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4317,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4998,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3595,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5743,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4180,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4750,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
6515,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
6244,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4968,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5167,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
6060,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
6287,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3740,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3258,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4212,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5256,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3725,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3455,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4494,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4625,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
7365,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4263,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
6317,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
