RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
4465,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2788,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2571,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1919,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2750,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3782,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1918,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1612,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1483,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3492,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1713,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1688,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2861,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3494,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2119,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1861,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3950,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1916,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3046,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2778,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1168,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1707,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1225,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
4185,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2370,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1993,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1842,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
6858,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1532,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2364,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2302,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3501,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1545,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2395,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
4611,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2910,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1481,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
993,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3404,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1334,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2624,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1170,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1258,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
4352,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1524,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3060,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1423,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2774,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2136,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2218,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1497,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1759,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3891,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2635,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3513,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1628,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2550,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3278,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1625,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1553,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1551,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1916,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1371,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1551,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1456,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1207,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3187,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
5292,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1336,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2122,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
