RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
19435,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
10104,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
12081,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6361,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
9051,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
9628,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
9693,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
11319,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
9452,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
9700,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
13390,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6691,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
12798,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
12273,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4217,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6233,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3584,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8728,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5065,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6367,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4796,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6708,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8801,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8156,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
