RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
7875,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4353,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4021,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3196,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3131,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2787,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2808,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4105,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2705,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3139,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2438,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3003,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2654,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1977,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3788,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2621,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2306,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3004,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4604,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2427,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3185,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
15517,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2142,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2813,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1909,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2436,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4114,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
7970,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
6277,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3603,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2855,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2987,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2338,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2236,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2262,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2854,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2071,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3067,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2986,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1889,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1871,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
