RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4023,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
5918,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2818,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2939,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
5108,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4166,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3303,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4338,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3521,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3507,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2889,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3674,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
