RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7798,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5399,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
13606,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
9370,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
13517,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7328,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
10113,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7167,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7834,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6882,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6963,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6757,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4333,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3653,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6639,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3951,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3086,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
11431,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3456,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
8119,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3629,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7303,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4717,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
8314,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3447,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5482,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
8046,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2530,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3466,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5372,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3378,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2203,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2719,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3452,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4965,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2864,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2773,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2511,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3931,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3394,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6552,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3220,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3714,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2307,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2345,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5134,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3860,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2961,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3046,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
6100,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
7573,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3112,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3409,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3747,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2290,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2674,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
5331,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2367,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2062,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2778,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2360,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3347,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2382,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4600,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2225,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2455,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3180,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4567,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2849,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2169,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1326,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1600,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
4222,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2045,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2770,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2781,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1886,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1579,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
