RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
7081,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3145,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2463,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2865,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2497,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2143,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2228,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4080,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2934,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4280,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
